 &SRS
 SRSRUN=236464,SRSDAT=2021124,SRSTIM=25111,
 SRSSTN='Bran',SRSPRJ='I06-1   ',SRSEXP='Emulator',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
<MetaDataAtStart>
command=scan fastEnergy 0.0 199.0 1.0 fesData 0 1
date='Wed Feb 24 14:51:10 2021'
beamenergy=3.00092942727
ringcurrent=301.621872813
iddgap=36.38535
iddtrp=-22.426
iddbrp=-22.426
idugap=100.0
idutrp=0.0
idubrp=0.0
pugap=155.004
pgmpitch=88.2676226748
pgmgratpitch=87.5559801511
cff=2.25
grating=400
pgmenergy=694.7855
denergy=694.786
uenergy=694.786
s1xgap=1.497
s1ygap=1.496
m1x=-5.0
m1pitch=-8509.0
m1qg=0.1035
m6x=3.0
m6yaw=-247.0
m6pitch=-10910.0
m6qg=0.0339
m7x=-1.4
m7pitch=6949.0
m7qg=14.5392
d9y=-16.000026
d10y=6.003
d11y=2.9
s6x=1.5147
s6xgap=1499.9
s6y=8.4887
s6ygap=20.068
iamp12_gain=10^7 V/A
magx=0.0
magy=0.0
magz=6.0
scmx=0.0
scmy=-4.0
scmth=3e-05
Tsample_mag=1.9
amp_scm_gain=5.0
amp_XABS_gain=6.0
amp_DDIFF_gain=5.0
m7y=-19.1
</MetaDataAtStart>
 &END
fastEnergy	pIndex	C1	C2	C3	C4	iddenergy	pgmenergy	C5	C6	idio	ifio	ifioft	ifiofb
694.909700	    0	  36698.000000000000	  21796.000000000000	   4549.000000000000	   1828.000000000000	    695.618000000000	    694.909700000000	   5562.000000000000	      0.000000000000	      1.683703431822	      0.208708019820	      0.083868599743	      0.255184437511
695.108300	    1	  37128.000000000000	  22006.000000000000	   4560.000000000000	   1832.000000000000	    695.618000000000	    695.108300000000	   5592.000000000000	      0.000000000000	      1.687176224666	      0.207216213760	      0.083250022721	      0.254112514769
695.327700	    2	  37436.000000000000	  22153.000000000000	   4571.000000000000	   2008.000000000000	    695.707000000000	    695.327700000000	   5609.000000000000	      0.000000000000	      1.689883988625	      0.206337742067	      0.090642350923	      0.253193698370
695.512400	    3	  37451.000000000000	  22164.000000000000	   4568.000000000000	   2065.000000000000	    695.922000000000	    695.512400000000	   5593.000000000000	      0.000000000000	      1.689722071828	      0.206099981953	      0.093169103050	      0.252346146905
695.735600	    4	  37476.000000000000	  22189.000000000000	   4581.000000000000	   1901.000000000000	    696.131000000000	    695.735600000000	   5591.000000000000	      0.000000000000	      1.688944972734	      0.206453648204	      0.085673081256	      0.251971697688
695.915000	    5	  37495.000000000000	  22204.000000000000	   4562.000000000000	   1813.000000000000	    696.344000000000	    695.915000000000	   5606.000000000000	      0.000000000000	      1.688659700955	      0.205458475950	      0.081651954603	      0.252477031166
696.122800	    6	  37537.000000000000	  22222.000000000000	   4583.000000000000	   1925.000000000000	    696.563000000000	    696.122800000000	   5600.000000000000	      0.000000000000	      1.689181891819	      0.206237062371	      0.086625866259	      0.252002520025
696.311000	    7	  37582.000000000000	  22241.000000000000	   4595.000000000000	   2096.000000000000	    696.782000000000	    696.311000000000	   5601.000000000000	      0.000000000000	      1.689762150982	      0.206600422643	      0.094240366890	      0.251832201789
696.520500	    8	  37597.000000000000	  22253.000000000000	   4583.000000000000	   1996.000000000000	    697.011000000000	    696.520500000000	   5600.000000000000	      0.000000000000	      1.689525007864	      0.205949759583	      0.089695771357	      0.251651462724
696.715000	    9	  37621.000000000000	  22264.000000000000	   4590.000000000000	   1825.000000000000	    697.240000000000	    696.715000000000	   5594.000000000000	      0.000000000000	      1.689768235717	      0.206162414660	      0.081970894718	      0.251257635645
