 &SRS
 SRSRUN=236467,SRSDAT=2021124,SRSTIM=2563,
 SRSSTN='Bran',SRSPRJ='I06-1   ',SRSEXP='Emulator',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
<MetaDataAtStart>
command=scan fastEnergy 0.0 199.0 1.0 fesData 0 1
date='Wed Feb 24 14:56:02 2021'
beamenergy=3.00093564698
ringcurrent=299.339180813
iddgap=36.2784
iddtrp=22.4135
iddbrp=22.4135
idugap=100.0
idutrp=0.0
idubrp=0.0
pugap=155.004
pgmpitch=88.267633402
pgmgratpitch=87.5558768731
cff=2.25
grating=400
pgmenergy=694.6734
denergy=694.673
uenergy=694.673
s1xgap=1.497
s1ygap=1.496
m1x=-5.0
m1pitch=-8509.0
m1qg=0.0894
m6x=3.0
m6yaw=-247.0
m6pitch=-10910.0
m6qg=0.0417
m7x=-1.4
m7pitch=6949.0
m7qg=15.1122
d9y=-16.000026
d10y=6.003
d11y=2.9
s6x=1.5147
s6xgap=1500.0
s6y=8.4886
s6ygap=20.068
iamp12_gain=10^7 V/A
magx=0.0
magy=0.0
magz=6.0
scmx=0.0
scmy=-4.0
scmth=3e-05
Tsample_mag=1.9
amp_scm_gain=5.0
amp_XABS_gain=6.0
amp_DDIFF_gain=5.0
m7y=-19.1
</MetaDataAtStart>
 &END
fastEnergy	pIndex	C1	C2	C3	C4	iddenergy	pgmenergy	C5	C6	idio	ifio	ifioft	ifiofb
694.916100	    0	  36016.000000000000	  22351.000000000000	   4900.000000000000	   1795.000000000000	    694.958000000000	    694.916100000000	   5949.000000000000	      0.000000000000	      1.611382041072	      0.219229564673	      0.080309605834	      0.266162587804
695.119300	    1	  36416.000000000000	  22530.000000000000	   4932.000000000000	   1926.000000000000	    694.958000000000	    695.119300000000	   5937.000000000000	      0.000000000000	      1.616333777186	      0.218908122503	      0.085486018642	      0.263515312916
695.340700	    2	  36710.000000000000	  22668.000000000000	   4932.000000000000	   2104.000000000000	    695.049000000000	    695.340700000000	   5976.000000000000	      0.000000000000	      1.619463560967	      0.217575436739	      0.092818069525	      0.263631551085
695.538000	    3	  36766.000000000000	  22694.000000000000	   4928.000000000000	   1991.000000000000	    695.249000000000	    695.538000000000	   5977.000000000000	      0.000000000000	      1.620075790958	      0.217149907465	      0.087732440293	      0.263373578920
695.749100	    4	  36791.000000000000	  22711.000000000000	   4937.000000000000	   1801.000000000000	    695.439000000000	    695.749100000000	   5968.000000000000	      0.000000000000	      1.619963894148	      0.217383646691	      0.079300779358	      0.262780150588
695.939100	    5	  36822.000000000000	  22729.000000000000	   4940.000000000000	   1843.000000000000	    695.667000000000	    695.939100000000	   5983.000000000000	      0.000000000000	      1.620044876589	      0.217343481895	      0.081085837476	      0.263231994368
696.139800	    6	  36824.000000000000	  22740.000000000000	   4958.000000000000	   2045.000000000000	    695.867000000000	    696.139800000000	   5955.000000000000	      0.000000000000	      1.619349164468	      0.218029903254	      0.089929639402	      0.261873350923
696.330600	    7	  36855.000000000000	  22756.000000000000	   4936.000000000000	   2074.000000000000	    696.103000000000	    696.330600000000	   5957.000000000000	      0.000000000000	      1.619572859905	      0.216909825980	      0.091140798031	      0.261777113728
696.541100	    8	  36839.000000000000	  22753.000000000000	   4927.000000000000	   1852.000000000000	    696.303000000000	    696.541100000000	   5975.000000000000	      0.000000000000	      1.619083197820	      0.216542873467	      0.081395859887	      0.262602733705
696.735100	    9	  36870.000000000000	  22773.000000000000	   4957.000000000000	   1791.000000000000	    696.552000000000	    696.735100000000	   5998.000000000000	      0.000000000000	      1.619022526676	      0.217670047864	      0.078645764721	      0.263382075265
696.938300	   10	  36860.000000000000	  22770.000000000000	   4954.000000000000	   1983.000000000000	    696.762000000000	    696.938300000000	   5978.000000000000	      0.000000000000	      1.618796662275	      0.217566974089	      0.087088274045	      0.262538427756
697.137600	   11	  36867.000000000000	  22780.000000000000	   4950.000000000000	   2096.000000000000	    697.007000000000	    697.137600000000	   5981.000000000000	      0.000000000000	      1.618393327480	      0.217295873573	      0.092010535558	      0.262554872695
697.360200	   12	  36851.000000000000	  22776.000000000000	   4971.000000000000	   1908.000000000000	    697.217000000000	    697.360200000000	   5976.000000000000	      0.000000000000	      1.617975061468	      0.218256059009	      0.083772391992	      0.262381454162
697.567400	   13	  36871.000000000000	  22790.000000000000	   4951.000000000000	   1782.000000000000	    697.455000000000	    697.567400000000	   5996.000000000000	      0.000000000000	      1.617858709961	      0.217244405441	      0.078192189557	      0.263097849934
697.804500	   14	  36875.000000000000	  22797.000000000000	   4970.000000000000	   1896.000000000000	    697.657000000000	    697.804500000000	   5978.000000000000	      0.000000000000	      1.617537395271	      0.218011141817	      0.083168838005	      0.262227486073
698.027100	   15	  36885.000000000000	  22806.000000000000	   4968.000000000000	   2090.000000000000	    697.904000000000	    698.027100000000	   6004.000000000000	      0.000000000000	      1.617337542752	      0.217837411208	      0.091642550206	      0.263264053319
698.262000	   16	  36895.000000000000	  22810.000000000000	   4945.000000000000	   2009.000000000000	    698.116000000000	    698.262000000000	   5989.000000000000	      0.000000000000	      1.617492327926	      0.216790881192	      0.088075405524	      0.262560280579
698.486400	   17	  36906.000000000000	  22815.000000000000	   4973.000000000000	   1809.000000000000	    698.357000000000	    698.486400000000	   5982.000000000000	      0.000000000000	      1.617619986851	      0.217970633355	      0.079289940828	      0.262195923734
698.726200	   18	  36908.000000000000	  22817.000000000000	   4964.000000000000	   1825.000000000000	    698.589000000000	    698.726200000000	   5987.000000000000	      0.000000000000	      1.617565850024	      0.217557084630	      0.079984222290	      0.262392076084
698.937200	   19	  36926.000000000000	  22820.000000000000	   4954.000000000000	   2031.000000000000	    698.799000000000	    698.937200000000	   5977.000000000000	      0.000000000000	      1.618141980719	      0.217090271691	      0.089000876424	      0.261919368975
699.171200	   20	  36950.000000000000	  22827.000000000000	   4971.000000000000	   2072.000000000000	    699.076000000000	    699.171200000000	   5978.000000000000	      0.000000000000	      1.618697156876	      0.217768432120	      0.090769702545	      0.261882858019
699.375800	   21	  36948.000000000000	  22832.000000000000	   4974.000000000000	   1873.000000000000	    699.240000000000	    699.375800000000	   6016.000000000000	      0.000000000000	      1.618255080589	      0.217852137351	      0.082033987386	      0.263489838823
699.603500	   22	  36963.000000000000	  22836.000000000000	   4973.000000000000	   1790.000000000000	    699.531000000000	    699.603500000000	   6004.000000000000	      0.000000000000	      1.618628481345	      0.217770187423	      0.078385006131	      0.262918199334
699.809900	   23	  36982.000000000000	  22841.000000000000	   4964.000000000000	   1944.000000000000	    699.701000000000	    699.809900000000	   6015.000000000000	      0.000000000000	      1.619105993608	      0.217328488245	      0.085110109014	      0.263342235454
